segment_id,window_type,source_run,adsc_lat_min,adsc_lat_max,adsc_lon_min,adsc_lon_max
20250215_396448_182155_184936,day-window (old),step1_raw_20250214_20250215,20.59885025024414,22.382240295410156,63.248634338378906,67.13109970092773
20250215_3965a9_211044_014103,day-window (old),step1_raw_20250214_20250215,-17.73416519165039,13.10171127319336,0.4063224792480469,21.430206298828125
20250215_39c426_212420_220036,day-window (old),step1_raw_20250214_20250215,20.080947875976562,22.536048889160156,62.89106369018555,68.21891784667969
20250215_4007fb_194003_233048,day-window (old),step1_raw_20250214_20250215,-30.37616729736328,-0.7146263122558594,5.452136993408203,15.615348815917969
20250215_406f7c_230018_021411,day-window (old),step1_raw_20250214_20250215,-28.541622161865234,-3.6478042602539062,5.323219299316406,14.681339263916016
20250215_aa909a_193530_202130,day-window (old),step1_raw_20250214_20250215,28.371849060058594,31.223487854003906,-31.799240112304688,-25.912113189697266
20250318_06a0ad_214418_235137,day-window (old),step1_raw_20250318_20250319,-1.141204833984375,13.004722595214844,43.167686462402344,52.016658782958984
20250318_346057_154549_182200,day-window (old),step1_raw_20250318_20250319,15.399913787841797,31.664657592773438,-29.461212158203125,-18.973388671875
20250318_406b22_205609_225124,day-window (old),step1_raw_20250318_20250319,-17.183818817138672,-2.6619529724121094,21.83858871459961,26.471214294433594
20250318_406b48_211847_230243,day-window (old),step1_raw_20250318_20250319,-16.591415405273438,-3.2831954956054688,19.102821350097656,23.302001953125
20250318_406d7b_151148_181204,day-window (old),step1_raw_20250318_20250319,11.126747131347656,34.37828063964844,3.470306396484375,3.9779090881347656
20250318_738074_155359_181937,day-window (old),step1_raw_20250318_20250319,9.207916259765625,10.089054107666016,43.260040283203125,62.27445602416992
20250318_7380c5_144451_163858,day-window (old),step1_raw_20250318_20250319,9.2120361328125,9.741096496582031,42.854576110839844,58.001461029052734
20250319_34628d_150235_184512,day-window (old),step1_raw_20250318_20250319,10.480098724365234,34.23288345336914,-34.33879852294922,-17.52096176147461
20250319_3475c7_154420_184053,day-window (old),step1_raw_20250318_20250319,17.128543853759766,34.54221725463867,-32.36469268798828,-16.970272064208984
20250319_405bfd_195320_232124,day-window (old),step1_raw_20250318_20250319,-29.94152069091797,-2.9124069213867188,11.311454772949219,17.842655181884766
20250319_738101_172336_192229,day-window (old),step1_raw_20250318_20250319,9.207916259765625,9.561538696289062,43.248538970947266,58.785953521728516
20250319_76cd41_145854_185254,day-window (old),step1_raw_20250318_20250319,-25.076980590820312,-15.088520050048828,36.45246505737305,70.98627090454102
20250319_89617e_152621_173840,day-window (old),step1_raw_20250318_20250319,-9.40155029296875,1.3964653015136719,-20.664081573486328,-6.031150817871094
20250408_06a127_142949_155543,day-window (old),step1_raw_20250408_20250409,71.81573867797852,80.72839736938477,14.748287200927734,45.8155632019043
20250408_34754d_123920_155647,day-window (old),step1_raw_20250408_20250409,4.885139465332031,27.635936737060547,-32.72003173828125,-20.43834686279297
20250408_39cf06_133521_152757,day-window (old),step1_raw_20250408_20250409,18.038864135742188,33.29458236694336,0.4042625427246094,1.6409111022949219
20250408_4952a4_123853_140119,day-window (old),step1_raw_20250408_20250409,19.15740966796875,27.758331298828125,-21.48204803466797,-16.162261962890625
20250408_4bb0f4_132539_150810,day-window (old),step1_raw_20250408_20250409,24.67632293701172,32.19062805175781,-8.353729248046875,3.5465240478515625
20250408_4bb14d_115243_161529,day-window (old),step1_raw_20250408_20250409,-18.344764709472656,1.5758514404296875,-32.553863525390625,-3.3489418029785156
20250408_8015a6_134546_153748,day-window (old),step1_raw_20250408_20250409,23.971824645996094,34.91661071777344,55.22998809814453,66.05134963989258
